date,exchange_rate
2009-01-02,0
2010-03-17,0.003
2010-05-22,0.01
2010-07-17,0.08
2010-10-25,0.12
2011-01-03,0.3
2011-01-08,0.31
2011-01-09,0.32
2011-02-09,1.06
2011-04-03,3.5
2011-06-08,31.91
2011-08-10,11.0
2011-11-14,2.05
2012-01-01,5.27
2012-01-11,7.1
2012-01-13,7.21
2012-06-01,5.27
2012-09-21,12.35
2013-01-05,13.52
2013-04-01,92.08
2013-06-01,128.74
2013-12-05,951.38
2014-01-01,805.9
2014-07-01,618.27
2015-01-02,314.56
2015-07-01,263.07
2016-01-01,433.09
2016-07-09,652.93
2017-01-01,998.33
2017-06-01,2452.56
2017-09-01,4702.72
2017-12-17,19101.66
2018-01-01,13412.44
2018-06-01,7521.94
2018-12-15,3200.69
2019-01-01,3693.31
2019-06-26,13016.23
2019-12-01,7290.77
2020-01-01,7195.15
2020-03-13,5165.35
2020-07-01,9137.99
2020-11-30,19713.94
2021-01-01,29301.71
2021-04-13,63126.66
2021-07-01,33572.49
2021-11-10,68789.63
2022-01-01,46311.42
2022-06-13,22561.77
2022-11-10,15831.08
2023-01-01,16605.13
2023-06-01,27219.48
2023-12-01,38413.77
